arm,model,ctx,regime,n,decode_med,decode_min,decode_max,prefill_med,ttft_med_ms,prompt_tokens,gen_tokens_med,short_stops,delta_vs_smallest_pct
litert-lm-cpu,litert-community/Qwen3-0.6B/dynamic_wi4b32_afp32,2304,cold,8,44.963596308081804,43.914090501995965,45.87686172018969,511.63887987475766,4027.0,1986,256.0,0,0.0
litert-lm-cpu,litert-community/Qwen3-0.6B/dynamic_wi4b32_afp32,4096,cold,8,33.93959076621206,33.183906206778985,34.78061440929313,387.95988989597345,5287.0,1986,256.0,0,-24.51762413828156
litert-lm-cpu,litert-community/Qwen3-0.6B/dynamic_wi4b32_afp32,8192,cold,8,18.070176042667345,17.820064554681537,18.82623288919099,252.58358184563315,8106.0,1986,256.0,0,-59.81154194416741
litert-lm-cpu,litert-community/Qwen3-1.7B/int8,2304,cold,8,28.67356317612987,28.380216923246266,33.2451127183549,563.899798819865,3593.5,1986,256.0,0,0.0
litert-lm-cpu,litert-community/Qwen3-1.7B/int8,4096,cold,8,28.466380981483375,28.15847049628715,29.77335831329029,564.3309708409438,3590.5,1986,256.0,0,-0.722554756706939
litert-lm-cpu,litert-community/Qwen3-1.7B/int8,8192,cold,8,28.599682398190367,28.214910146487412,28.86039321204296,528.18796840524,3920.5,1986,256.0,0,-0.2576616567870671
litert-lm-cpu,litert-community/gemma-4-E2B-it-litert-lm,2304,cold,8,50.54051499606287,48.819343728443165,51.57874302642879,637.7761416493017,2683.0,1637,256.0,0,0.0
litert-lm-cpu,litert-community/gemma-4-E2B-it-litert-lm,4096,cold,8,46.60554578668878,46.316507922232105,46.931642618688024,555.2071833032569,3018.0,1637,256.0,0,-7.7857718895041454
litert-lm-cpu,litert-community/gemma-4-E2B-it-litert-lm,8192,cold,8,39.186529989102695,39.123947175218575,39.27059113579479,413.5179695233463,4097.5,1637,256.0,0,-22.465115378908695
litert-lm-cpu,litert-community/gemma-4-E4B-it-litert-lm,2304,cold,8,33.38242079141453,32.49856480099725,33.46106934258369,234.31259582901382,7075.0,1637,256.0,0,0.0
litert-lm-cpu,litert-community/gemma-4-E4B-it-litert-lm,4096,cold,8,31.22989453871934,31.04974197865557,31.297962824499493,211.37716826824948,7864.5,1637,256.0,0,-6.448083157734297
litert-lm-cpu,litert-community/gemma-4-E4B-it-litert-lm,8192,cold,8,26.501058494230527,26.407793244452613,26.534860591453263,175.4940978389342,9584.0,1637,256.0,0,-20.613730622417258
llama.cpp,unsloth/Qwen3-0.6B-GGUF/Q4_K_M,2304,cold,8,305.08283032440755,299.0297920881197,321.1868175849888,11591.659388490778,235.0,1986,256.0,0,0.0
llama.cpp,unsloth/Qwen3-0.6B-GGUF/Q4_K_M,4096,cold,8,305.90744433135296,300.25522909473653,309.6604333721752,11609.34895013654,236.0,1986,256.0,0,0.2702918437162083
llama.cpp,unsloth/Qwen3-0.6B-GGUF/Q4_K_M,8192,cold,8,301.24436437768077,299.08184975071913,310.2864681848833,11533.293547396413,239.5,1986,256.0,0,-1.2581717373754464
llama.cpp,unsloth/Qwen3-1.7B-GGUF/Q4_K_M,2304,cold,8,193.72204837878556,190.8221996284648,197.60313149288808,4982.008274046977,532.0,1986,256.0,0,0.0
llama.cpp,unsloth/Qwen3-1.7B-GGUF/Q4_K_M,4096,cold,8,194.84532407245348,190.79161558861549,197.27179961846105,4976.539785468479,533.0,1986,256.0,0,0.579838848013603
llama.cpp,unsloth/Qwen3-1.7B-GGUF/Q4_K_M,8192,cold,8,194.06124498361942,190.79561604753056,198.03312171830797,4980.75317173558,534.5,1986,256.0,0,0.17509447565340341
llama.cpp,unsloth/Qwen3-4B-GGUF/Q4_K_M,2304,cold,8,103.6450986234265,102.93356164386844,104.70942695787762,2009.512964762216,1329.0,1986,256.0,0,0.0
llama.cpp,unsloth/Qwen3-4B-GGUF/Q4_K_M,4096,cold,8,103.56480292032323,102.00251571705678,105.02537906870072,2017.559736594795,1325.0,1986,256.0,0,-0.07747178030580448
llama.cpp,unsloth/Qwen3-4B-GGUF/Q4_K_M,8192,cold,8,103.91877422111793,102.64679944842281,104.8629353114548,2013.480090836857,1329.0,1986,256.0,0,0.26405068963826217
llama.cpp,unsloth/gemma-4-E2B-it-GGUF/Q4_K_M,2304,cold,8,137.93991362055124,131.51899118071944,141.11229851507335,2986.2995436600504,602.0,1629,256.0,0,0.0
llama.cpp,unsloth/gemma-4-E2B-it-GGUF/Q4_K_M,4096,cold,8,136.04660424568817,134.36874166954385,140.83290479800212,2992.0600827627522,601.5,1629,256.0,0,-1.3725609398822947
llama.cpp,unsloth/gemma-4-E2B-it-GGUF/Q4_K_M,8192,cold,8,137.55947153557082,136.38218141006848,140.30879590942027,2974.0725292923103,605.5,1629,256.0,0,-0.2758027571533428
llama.cpp,unsloth/gemma-4-E4B-it-GGUF/Q4_K_M,2304,cold,8,86.14027202021819,84.66680718112464,88.03673703646614,1533.7176230540704,1156.5,1629,256.0,0,0.0
llama.cpp,unsloth/gemma-4-E4B-it-GGUF/Q4_K_M,4096,cold,8,87.22314188612481,86.40227281350192,89.5007262638099,1538.8676159512702,1153.5,1629,256.0,0,1.2571005878092123
llama.cpp,unsloth/gemma-4-E4B-it-GGUF/Q4_K_M,8192,cold,8,87.08503442740457,85.47231257082615,88.29142188137523,1539.9715612798466,1153.0,1629,256.0,0,1.0967720266365388
