Cmdline: /system/bin/simpleperf record -o /data/local/tmp/llmbench/perf_gpu.data -e cpu-clock:u -f 1000 --call-graph fp -- taskset f0 ./litert_lm_advanced_main --backend=gpu --model_path=/data/local/tmp/llmbench/models/litert-community_Qwen3-0.6B_qwen3_0_6b_mixed_int4.litertlm --benchmark --benchmark_prefill_tokens=128 --benchmark_decode_tokens=256 --async=false --max_num_tokens=1024
Arch: arm64
Event: cpu-clock:u (type 1, config 0)
Samples: 16441
Event count: 16441000000

Overhead  Sample  Shared Object
39.07%    6424    /data/local/tmp/llmbench/libLiteRtGpuAccelerator.so
27.95%    4595    /vendor/lib64/egl/libGLES_mali.so
20.66%    3397    /apex/com.android.runtime/lib64/bionic/libc.so
8.90%     1464    /data/local/tmp/llmbench/litert_lm_advanced_main
1.82%     299     [vdso]
0.96%     158     /apex/com.android.runtime/bin/linker64

Cmdline: /system/bin/simpleperf record -o /data/local/tmp/llmbench/perf_gpu.data -e cpu-clock:u -f 1000 --call-graph fp -- taskset f0 ./litert_lm_advanced_main --backend=gpu --model_path=/data/local/tmp/llmbench/models/litert-community_Qwen3-0.6B_qwen3_0_6b_mixed_int4.litertlm --benchmark --benchmark_prefill_tokens=128 --benchmark_decode_tokens=256 --async=false --max_num_tokens=1024
Arch: arm64
Event: cpu-clock:u (type 1, config 0)
Samples: 16441
Event count: 16441000000

Overhead  Sample  Shared Object                                        Symbol
1.33%     219     /vendor/lib64/egl/libGLES_mali.so                    mcl_command_device::init(mcl_kernel*, unsigned int, unsigned long const*, unsigned long const*, unsigned long const*, mcl_command_device*)
1.33%     218     /data/local/tmp/llmbench/libLiteRtGpuAccelerator.so  libLiteRtGpuAccelerator.so[+103110]
1.18%     194     /apex/com.android.runtime/lib64/bionic/libc.so       scudo::HybridMutex::unlock()
1.16%     190     /vendor/lib64/egl/libGLES_mali.so                    mcl_resource::is_resource_type(mcl_object_type) const
1.14%     187     /vendor/lib64/egl/libGLES_mali.so                    mcl_kernel::set_arg_impl(unsigned int, unsigned long, void const*)
1.06%     174     /data/local/tmp/llmbench/libLiteRtGpuAccelerator.so  libLiteRtGpuAccelerator.so[+10309c]
0.95%     156     /vendor/lib64/egl/libGLES_mali.so                    mcl_gpu_payload::assign(mcl_gpu_payload*)
0.94%     155     /data/local/tmp/llmbench/litert_lm_advanced_main     litert::lm::TopKTokenIds(absl::lts_20260526::Span<float const>, int, int, int)
0.94%     154     /vendor/lib64/egl/libGLES_mali.so                    mcl_gpu_payload::set_uniform_arg(unsigned int, void const*)
0.85%     139     /vendor/lib64/egl/libGLES_mali.so                    mcl_event::create(mcl_context*, mcl_command_type, mcl_command_queue*)
0.77%     126     /vendor/lib64/egl/libGLES_mali.so                    cmemp_heap_range_map.llvm.6761199997930444980
0.75%     123     /vendor/lib64/egl/libGLES_mali.so                    cmemp_hoard_back_base_sync_to_cpu.llvm.4263896854207024911
0.69%     113     /vendor/lib64/egl/libGLES_mali.so                    mcl_command_queue::enqueue(mcl_device const*, mcl_command_type, mcl_command*, unsigned int, _cl_event* const*, _cl_event**, bool, void*)
0.68%     112     /data/local/tmp/llmbench/libLiteRtGpuAccelerator.so  libLiteRtGpuAccelerator.so[+1030a0]
0.66%     109     /data/local/tmp/llmbench/libLiteRtGpuAccelerator.so  libLiteRtGpuAccelerator.so[+10308c]
0.66%     108     /data/local/tmp/llmbench/libLiteRtGpuAccelerator.so  libLiteRtGpuAccelerator.so[+ff964]
0.63%     104     /data/local/tmp/llmbench/libLiteRtGpuAccelerator.so  libLiteRtGpuAccelerator.so[+128a48]
0.63%     104     /vendor/lib64/egl/libGLES_mali.so                    mcl_image::create_backing_memory(mcl_device const*)
0.62%     102     /data/local/tmp/llmbench/libLiteRtGpuAccelerator.so  libLiteRtGpuAccelerator.so[+272684]
0.61%     101     /apex/com.android.runtime/lib64/bionic/libc.so       scudo::Allocator<scudo::AndroidNormalConfig, &scudo_malloc_postinit>::deallocate(void*, scudo::Chunk::Origin, unsigned long, unsigned long)
0.59%     97      /data/local/tmp/llmbench/libLiteRtGpuAccelerator.so  libLiteRtGpuAccelerator.so[+2725f4]
0.57%     94      /data/local/tmp/llmbench/libLiteRtGpuAccelerator.so  libLiteRtGpuAccelerator.so[+273580]
0.57%     93      /vendor/lib64/egl/libGLES_mali.so                    clcc::Kernel::select_variant_instance(clcc_ndrange const*, clcc_variant_instance*) const
0.54%     89      /apex/com.android.runtime/lib64/bionic/libc.so       scudo::SizeClassAllocator64<scudo::PrimaryConfig<scudo::AndroidNormalConfig>>::popBlocksImpl(scudo::SizeClassAllocatorLocalCache<scudo::SizeClassAllocator64<scudo::PrimaryConfig<scudo::AndroidNormalConfig>>>*, unsigned long, scudo::SizeClassAllocator64<scudo::PrimaryConfig<scudo::AndroidNormalConfig>>::RegionInfo*, unsigned int*, unsigned short)
0.53%     87      /apex/com.android.runtime/lib64/bionic/libc.so       scudo::Allocator<scudo::AndroidNormalConfig, &scudo_malloc_postinit>::allocate(unsigned long, scudo::Chunk::Origin, unsigned long, bool)
0.50%     83      /vendor/lib64/egl/libGLES_mali.so                    mcl_gpu_payload_csf::finalize(mcl_gpu_kernel*, clcc_ndrange const*)
0.50%     83      /vendor/lib64/egl/libGLES_mali.so                    mcl_submission_backend_csf::event_create(mcl_context*)

### CMD: adb shell "simpleperf report -i /data/local/tmp/llmbench/perf_gpu.data --sort comm,tid -n"
Cmdline: /system/bin/simpleperf record -o /data/local/tmp/llmbench/perf_gpu.data -e cpu-clock:u -f 1000 --call-graph fp -- taskset f0 ./litert_lm_advanced_main --backend=gpu --model_path=/data/local/tmp/llmbench/models/litert-community_Qwen3-0.6B_qwen3_0_6b_mixed_int4.litertlm --benchmark --benchmark_prefill_tokens=128 --benchmark_decode_tokens=256 --async=false --max_num_tokens=1024
Arch: arm64
Event: cpu-clock:u (type 1, config 0)
Samples: 16441
Event count: 16441000000

Overhead  Sample  Command          Tid
89.42%    14702   litert_lm_advan  19516
6.62%     1088    mali-event-hand  19520
3.83%     629     litert_lm_advan  19518
0.12%     20      taskset          19516
0.01%     2       mali-mem-purge   19521
