Cmdline: /system/bin/simpleperf record -o /data/local/tmp/llmbench/perf_gpu_decode_dwarf.data -e cpu-clock:u -f 1000 --call-graph dwarf -p 11065 --duration 8
Arch: arm64
Event: cpu-clock:u (type 1, config 0)
Samples: 6278
Event count: 6278000000

Overhead  Sample  Shared Object                                        Symbol
0.96%     60      /data/local/tmp/llmbench/libLiteRtGpuAccelerator.so  libLiteRtGpuAccelerator.so[+128a48]
0.96%     60      /data/local/tmp/llmbench/libLiteRtGpuAccelerator.so  libLiteRtGpuAccelerator.so[+ff964]
0.96%     60      /vendor/lib64/egl/libGLES_mali.so                    mcl_event::create(mcl_context*, mcl_command_type, mcl_command_queue*)
0.92%     58      /data/local/tmp/llmbench/libLiteRtGpuAccelerator.so  libLiteRtGpuAccelerator.so[+102f40]
0.92%     58      /vendor/lib64/egl/libGLES_mali.so                    mcl_gpu_payload::set_uniform_arg(unsigned int, void const*)
0.88%     55      /data/local/tmp/llmbench/libLiteRtGpuAccelerator.so  libLiteRtGpuAccelerator.so[+272684]
0.84%     53      /data/local/tmp/llmbench/libLiteRtGpuAccelerator.so  libLiteRtGpuAccelerator.so[+10309c]
0.78%     49      /vendor/lib64/egl/libGLES_mali.so                    mcl_gpu_payload::region_set_ndblock_implicit_args(mcl_gpu_payload_region*, clcc_ndrange const*, mcl_gpu_ndblock const*, mcl_gpu_kernel*)
0.76%     48      /data/local/tmp/llmbench/libLiteRtGpuAccelerator.so  libLiteRtGpuAccelerator.so[+10f520]
0.76%     48      /data/local/tmp/llmbench/libLiteRtGpuAccelerator.so  libLiteRtGpuAccelerator.so[+2725f4]
0.75%     47      /vendor/lib64/egl/libGLES_mali.so                    cmemp_hoard_back_base_sync_to_cpu.llvm.4263896854207024911
0.72%     45      /data/local/tmp/llmbench/litert_lm_advanced_main     litert::lm::TopPSampler::SampleToIdAndScoreBuffer(litert::TensorBuffer const&, litert::TensorBuffer&, litert::TensorBuffer*)
0.65%     41      /data/local/tmp/llmbench/libLiteRtGpuAccelerator.so  libLiteRtGpuAccelerator.so[+10308c]
0.65%     41      /vendor/lib64/egl/libGLES_mali.so                    mcl_image::create_backing_memory(mcl_device const*)
0.62%     39      /vendor/lib64/egl/libGLES_mali.so                    clcc::Kernel::select_variant_instance(clcc_ndrange const*, clcc_variant_instance*) const
0.61%     38      /vendor/lib64/libOpenCL.so                           clSetKernelArg
0.59%     37      /apex/com.android.runtime/lib64/bionic/libc.so       scudo::SizeClassAllocator64<scudo::PrimaryConfig<scudo::AndroidNormalConfig>>::popBlocksImpl(scudo::SizeClassAllocatorLocalCache<scudo::SizeClassAllocator64<scudo::PrimaryConfig<scudo::AndroidNormalConfig>>>*, unsigned long, scudo::SizeClassAllocator64<scudo::PrimaryConfig<scudo::AndroidNormalConfig>>::RegionInfo*, unsigned int*, unsigned short)
0.57%     36      /vendor/lib64/egl/libGLES_mali.so                    mcl_gpu_payload::set_image_read_arg(unsigned int, mcl_gpu_device_image const*)
0.54%     34      /apex/com.android.runtime/lib64/bionic/libc.so       scudo::HybridMutex::unlock()
0.54%     34      /data/local/tmp/llmbench/libLiteRtGpuAccelerator.so  libLiteRtGpuAccelerator.so[+103074]
0.53%     33      /vendor/lib64/egl/libGLES_mali.so                    @plt
Cmdline: /system/bin/simpleperf record -o /data/local/tmp/llmbench/perf_gpu_decode_dwarf.data -e cpu-clock:u -f 1000 --call-graph dwarf -p 11065 --duration 8
Arch: arm64
Event: cpu-clock:u (type 1, config 0)
Samples: 6278
Event count: 6278000000

Overhead  Sample  Command                  Tid
91.51%    5745    litert_lm_advanced_main  11065
8.49%     533     mali-event-hand          11070
